blk2010gj,blk2010ge,blk2020gj,blk2020ge,parea,weight
G15000100201001301,150010201001301,G15000100201003043,150010201003043,1,1
G15000100201001302,150010201001302,G15000100201003043,150010201003043,1,1
G15000100201001303,150010201001303,G15000100201003044,150010201003044,1,1
G15000100201001304,150010201001304,G15000100201003043,150010201003043,1,1
G15000100201001305,150010201001305,G15000100201003043,150010201003043,1,1
G15000100201001306,150010201001306,G15000100201003043,150010201003043,1,1
G15000100201001307,150010201001307,G15000100201003043,150010201003043,1,1
G15000100201001308,150010201001308,G15000100201003043,150010201003043,1,1
G15000100201001309,150010201001309,G15000100201003043,150010201003043,1,1
G15000100201001310,150010201001310,G15000100201003043,150010201003043,1,1
G15000100201001311,150010201001311,G15000100201003043,150010201003043,1,1
G15000100201001312,150010201001312,G15000100201003043,150010201003043,1,1
G15000100201001313,150010201001313,G15000100201003086,150010201003086,1,1
G15000100201001314,150010201001314,G15000100201003066,150010201003066,1,1
G15000100201001315,150010201001315,G15000100201003044,150010201003044,1,1
G15000100201001316,150010201001316,G15000100201003044,150010201003044,1,1
G15000100201001317,150010201001317,G15000100201003044,150010201003044,1,1
G15000100201001318,150010201001318,G15000100201003020,150010201003020,1,1
G15000100201001319,150010201001319,G15000100201003044,150010201003044,1,1
G15000100201001320,150010201001320,G15000100201003044,150010201003044,1,1
G15000100201001321,150010201001321,G15000100201003054,150010201003054,1,1
G15000100201001322,150010201001322,G15000100201003045,150010201003045,1,1
G15000100201001323,150010201001323,G15000100201003045,150010201003045,1,1
G15000100201001324,150010201001324,G15000100201003043,150010201003043,1,1
G15000100201001325,150010201001325,G15000100201003053,150010201003053,1,1
G15000100201001326,150010201001326,G15000100201003053,150010201003053,1,1
G15000100201001327,150010201001327,G15000100201003053,150010201003053,1,1
G15000100201001328,150010201001328,G15000100201003053,150010201003053,1,1
G15000100201001329,150010201001329,G15000100201003054,150010201003054,1,1
G15000100201001330,150010201001330,G15000100201003054,150010201003054,1,1
G15000100201001331,150010201001331,G15000100201003054,150010201003054,1,1
G15000100201001332,150010201001332,G15000100201003043,150010201003043,1,1
G15000100201001333,150010201001333,G15000100201003043,150010201003043,1,1
G15000100201001334,150010201001334,G15000100201003043,150010201003043,1,1
G15000100201001335,150010201001335,G15000100201003043,150010201003043,0.0110837098,0.006335916
G15000100201001335,150010201001335,G15000100201003054,150010201003054,0.9889162902,0.993664084
G15000100201001336,150010201001336,G15000100201003054,150010201003054,1,1
G15000100201001337,150010201001337,G15000100201003053,150010201003053,1,1
G15000100201001338,150010201001338,G15000100201003053,150010201003053,1,1
G15000100201001339,150010201001339,G15000100201003053,150010201003053,1,1
G15000100201001340,150010201001340,G15000100201003053,150010201003053,1,1
G15000100201001341,150010201001341,G15000100201003053,150010201003053,1,1
G15000100201001342,150010201001342,G15000100201003059,150010201003059,1,1
G15000100201001343,150010201001343,G15000100201003055,150010201003055,0.2920577339,0.0501453779
G15000100201001343,150010201001343,G15000100201003056,150010201003056,0.5165236184,0.3152396122
G15000100201001343,150010201001343,G15000100201003058,150010201003058,0.1914186477,0.6346150099
G15000100201001344,150010201001344,G15000100201003055,150010201003055,1,1
G15000100201001345,150010201001345,G15000100201003063,150010201003063,1,1
G15000100201001346,150010201001346,G15000100201003056,150010201003056,1,1
G15000100201001347,150010201001347,G15000100201003057,150010201003057,1,1
G15000100201001348,150010201001348,G15000100201003053,150010201003053,1,1
G15000100201001349,150010201001349,G15000100201003053,150010201003053,1,1
G15000100201001350,150010201001350,G15000100201003053,150010201003053,1,1
G15000100201001351,150010201001351,G15000100201003053,150010201003053,1,1
G15000100201001352,150010201001352,G15000100201003043,150010201003043,1,1
G15000100201001353,150010201001353,G15000100201003043,150010201003043,1,1
G15000100201001354,150010201001354,G15000100201003043,150010201003043,1,1
G15000100201001355,150010201001355,G15000100201003043,150010201003043,1,1
G15000100201001356,150010201001356,G15000100201003054,150010201003054,1,1
G15000100201001357,150010201001357,G15000100201003043,150010201003043,1,1
G15000100201001358,150010201001358,G15000100201003043,150010201003043,1,1
G15000100201001359,150010201001359,G15000100201003063,150010201003063,1,1
G15000100201001360,150010201001360,G15000100201003063,150010201003063,1,1
G15000100201001361,150010201001361,G15000100201003061,150010201003061,0.9864038496,0.9864038496
G15000100201001361,150010201001361,G15000100201003062,150010201003062,0.0135961504,0.0135961504
G15000100201001362,150010201001362,G15000100201003050,150010201003050,0.9670285213,0.9670285213
G15000100201001362,150010201001362,G15000100201003051,150010201003051,0.0155392106,0.0155392106
G15000100201001362,150010201001362,G15000100201003074,150010201003074,0.0174322681,0.0174322681
G15000100201001363,150010201001363,G15000100201003049,150010201003049,1,1
G15000100201001364,150010201001364,G15000100201003044,150010201003044,1,1
G15000100201001365,150010201001365,G15000100201003044,150010201003044,1,1
G15000100201001366,150010201001366,G15000100201003044,150010201003044,1,1
G15000100201001367,150010201001367,G15000100201003053,150010201003053,0.8390389623,0.4044006155
G15000100201001367,150010201001367,G15000100201003055,150010201003055,0.1609610377,0.5955993845
G15000100201001368,150010201001368,G15000100201003053,150010201003053,1,1
G15000100201001369,150010201001369,G15000100201003043,150010201003043,1,1
G15000100201001370,150010201001370,G15000100201003043,150010201003043,1,1
